PALM BEACH TAN,Tanning
CAPITAL ONE AUTOPAY,C1 Payments
Cap 1 ELECPHONEPMT,C1 Payments
MONROE CAR,Car Wash
VZWRLSS*APOCC VISN,Mobile Phone
LA FITNESS,Health Club
SHRINERSHOSPITAL,Charity
SAVE THE CHILDREN,Charity
ONLINE TRADING,Education
SHELL OIL,Gas
FINS AT SHARK,Dining
VILLAGE-INN,Dining
BEACH HOUSE,Dining
DENNY'S,Dining
CITGO,Gas
ONLINE TRADING,Education
BUDGET,Car Rental
THREE DOG,Dining
LOVE'S TRAVEL,Dining
PAY PARKING,Misc
WALGREEN'S,Pharmacy
CIRCLE'S AT LAND,Dining
BARNACLE BILL'S,Dining
CHANGE POINT LAUNDRY,Misc
VICTORIA FALLS,Dining
CARIBBEAN JACK'S,Dining
ROBERT J PATRIGNELLI,Doctors
JERRY'S ARTARAMA,Nancy
MCDONALD'S,Dining
STOP&SHOP,Food
STP&STPFUEL,Gas

